[LIVE_PACKET_TIMING] tag=live_backend frames=360 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.038 median_ms=color_ms=2.05,inference_ms=9.69,postprocess_ms=0.41,stack_ms=1.42,sync_wait_ms=4.41,total_packet_ms=13.83 p95_ms=color_ms=3.08,inference_ms=11.87,postprocess_ms=0.73,stack_ms=2.24,sync_wait_ms=7.51,total_packet_ms=16.93 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=390 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=3.421 median_ms=color_ms=2.06,inference_ms=9.73,postprocess_ms=0.41,stack_ms=1.42,sync_wait_ms=4.21,total_packet_ms=13.98 p95_ms=color_ms=3.20,inference_ms=12.03,postprocess_ms=0.72,stack_ms=2.28,sync_wait_ms=7.45,total_packet_ms=17.06 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=420 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.035 median_ms=color_ms=2.12,inference_ms=9.62,postprocess_ms=0.42,stack_ms=1.42,sync_wait_ms=4.19,total_packet_ms=13.98 p95_ms=color_ms=3.20,inference_ms=12.09,postprocess_ms=0.72,stack_ms=2.27,sync_wait_ms=7.28,total_packet_ms=16.92 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=450 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=22.205 median_ms=color_ms=2.16,inference_ms=9.62,postprocess_ms=0.41,stack_ms=1.43,sync_wait_ms=4.14,total_packet_ms=14.14 p95_ms=color_ms=3.34,inference_ms=12.17,postprocess_ms=0.72,stack_ms=2.60,sync_wait_ms=7.28,total_packet_ms=17.36 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=480 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=3.054 median_ms=color_ms=2.23,inference_ms=9.87,postprocess_ms=0.42,stack_ms=1.45,sync_wait_ms=4.11,total_packet_ms=14.35 p95_ms=color_ms=3.47,inference_ms=12.23,postprocess_ms=1.00,stack_ms=2.66,sync_wait_ms=7.43,total_packet_ms=17.36 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=510 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=3.0 median_ms=color_ms=2.25,inference_ms=9.92,postprocess_ms=0.41,stack_ms=1.45,sync_wait_ms=4.11,total_packet_ms=14.39 p95_ms=color_ms=3.63,inference_ms=12.34,postprocess_ms=1.38,stack_ms=2.66,sync_wait_ms=7.43,total_packet_ms=17.58 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=540 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=6.329 median_ms=color_ms=2.26,inference_ms=10.08,postprocess_ms=0.40,stack_ms=1.43,sync_wait_ms=4.10,total_packet_ms=14.51 p95_ms=color_ms=3.72,inference_ms=12.68,postprocess_ms=0.81,stack_ms=3.02,sync_wait_ms=7.29,total_packet_ms=17.58 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=570 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=4.308 median_ms=color_ms=2.28,inference_ms=10.05,postprocess_ms=0.40,stack_ms=1.43,sync_wait_ms=4.11,total_packet_ms=14.51 p95_ms=color_ms=3.83,inference_ms=12.91,postprocess_ms=0.75,stack_ms=2.71,sync_wait_ms=7.42,total_packet_ms=17.58 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=600 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=5.045 median_ms=color_ms=2.31,inference_ms=10.08,postprocess_ms=0.40,stack_ms=1.43,sync_wait_ms=4.14,total_packet_ms=14.58 p95_ms=color_ms=3.76,inference_ms=12.93,postprocess_ms=0.79,stack_ms=2.83,sync_wait_ms=7.43,total_packet_ms=17.94 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=630 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.206 median_ms=color_ms=2.31,inference_ms=10.11,postprocess_ms=0.40,stack_ms=1.43,sync_wait_ms=4.15,total_packet_ms=14.62 p95_ms=color_ms=3.72,inference_ms=12.93,postprocess_ms=0.89,stack_ms=2.94,sync_wait_ms=7.43,total_packet_ms=17.86 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=660 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.442 median_ms=color_ms=2.30,inference_ms=10.25,postprocess_ms=0.40,stack_ms=1.43,sync_wait_ms=4.18,total_packet_ms=14.72 p95_ms=color_ms=3.63,inference_ms=12.91,postprocess_ms=0.89,stack_ms=2.82,sync_wait_ms=7.42,total_packet_ms=17.94 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=690 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=1.029 median_ms=color_ms=2.31,inference_ms=10.15,postprocess_ms=0.40,stack_ms=1.41,sync_wait_ms=4.18,total_packet_ms=14.68 p95_ms=color_ms=3.57,inference_ms=12.91,postprocess_ms=0.77,stack_ms=2.83,sync_wait_ms=7.28,total_packet_ms=17.94 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=720 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.169 median_ms=color_ms=2.31,inference_ms=10.17,postprocess_ms=0.40,stack_ms=1.41,sync_wait_ms=4.18,total_packet_ms=14.74 p95_ms=color_ms=3.86,inference_ms=12.90,postprocess_ms=0.78,stack_ms=2.94,sync_wait_ms=7.23,total_packet_ms=17.99 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=750 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=20.853 median_ms=color_ms=2.36,inference_ms=9.98,postprocess_ms=0.40,stack_ms=1.43,sync_wait_ms=4.25,total_packet_ms=14.67 p95_ms=color_ms=3.82,inference_ms=12.60,postprocess_ms=0.80,stack_ms=2.94,sync_wait_ms=7.78,total_packet_ms=18.31 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=780 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=1.995 median_ms=color_ms=2.33,inference_ms=10.13,postprocess_ms=0.40,stack_ms=1.43,sync_wait_ms=4.25,total_packet_ms=14.68 p95_ms=color_ms=3.68,inference_ms=12.91,postprocess_ms=0.83,stack_ms=3.26,sync_wait_ms=7.22,total_packet_ms=18.88 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=810 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=1.312 median_ms=color_ms=2.36,inference_ms=10.12,postprocess_ms=0.40,stack_ms=1.44,sync_wait_ms=4.31,total_packet_ms=14.80 p95_ms=color_ms=3.82,inference_ms=12.59,postprocess_ms=0.83,stack_ms=3.48,sync_wait_ms=7.35,total_packet_ms=18.61 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=840 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=4.088 median_ms=color_ms=2.40,inference_ms=10.03,postprocess_ms=0.40,stack_ms=1.45,sync_wait_ms=4.30,total_packet_ms=14.75 p95_ms=color_ms=3.68,inference_ms=12.91,postprocess_ms=0.78,stack_ms=3.46,sync_wait_ms=7.22,total_packet_ms=18.61 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=870 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.388 median_ms=color_ms=2.39,inference_ms=10.00,postprocess_ms=0.40,stack_ms=1.44,sync_wait_ms=4.28,total_packet_ms=14.74 p95_ms=color_ms=3.82,inference_ms=13.01,postprocess_ms=0.88,stack_ms=3.38,sync_wait_ms=7.18,total_packet_ms=18.60 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=900 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.992 median_ms=color_ms=2.40,inference_ms=10.01,postprocess_ms=0.40,stack_ms=1.45,sync_wait_ms=4.32,total_packet_ms=14.76 p95_ms=color_ms=3.67,inference_ms=13.14,postprocess_ms=1.20,stack_ms=3.32,sync_wait_ms=7.49,total_packet_ms=18.60 drops=0
[LIVE_PACKET_TIMING] tag=live_backend frames=930 window=200 role=LEFT,CENTER_L,CENTER_R,RIGHT resolution=1920x1080 color_backend=native_cuda_npp inference_backend=tensorrt batch=4 yolo_imgsz=640 fast_path_enabled=True packet_roles_count=4 zero_copy_to_inference=True gpu_roundtrip=False fallback_used=false color_output_location=cuda inference_input_location=cuda ts_spread_ms=2.031 median_ms=color_ms=2.39,inference_ms=9.92,postprocess_ms=0.41,stack_ms=1.45,sync_wait_ms=4.37,total_packet_ms=14.73 p95_ms=color_ms=3.75,inference_ms=13.14,postprocess_ms=1.36,stack_ms=3.18,sync_wait_ms=7.50,total_packet_ms=18.47 drops=0
